campaign_id,campaign_date,channel,campaign_name,spend,impressions,clicks,conversions,revenue_generated,new_customers
MC00101,2026-01-01,Organic Search,Organic Search Jan-2026,21729.18,873453,45157,2344,110679.08,1749
MC00102,2026-01-01,Affiliate,Affiliate Jan-2026,56604.02,2491480,53272,1170,211438.64,677
MC00103,2026-01-01,Influencer,Influencer Jan-2026,47807.95,4818366,195868,3946,91534.33,2732
MC00104,2026-01-01,Marketplace,Marketplace Jan-2026,120560.66,6858085,296986,6674,326507.81,3250
MC00105,2026-02-01,Google Ads,Google Ads Feb-2026,154600.27,6847534,346419,8011,545478.39,2787
MC00106,2026-02-01,Meta Ads,Meta Ads Feb-2026,192170.84,23731776,833849,47391,631237.18,19517
MC00107,2026-02-01,Instagram,Instagram Feb-2026,107282.61,4402292,229924,4441,294945.17,2253
MC00108,2026-02-01,Email,Email Feb-2026,37437.92,5740643,281450,14418,218349.88,10675
MC00109,2026-02-01,Organic Search,Organic Search Feb-2026,17629.41,765961,38886,1709,97546.63,623
MC00110,2026-02-01,Affiliate,Affiliate Feb-2026,66986.33,3866005,139334,2887,224249.6,1030
MC00111,2026-02-01,Influencer,Influencer Feb-2026,47925.14,3643692,138721,8299,96205.08,4269
MC00112,2026-02-01,Marketplace,Marketplace Feb-2026,128366.65,5270152,204560,11277,438492.99,5449
MC00113,2026-03-01,Google Ads,Google Ads Mar-2026,214746.24,24186684,824629,53733,913163.66,21338
MC00114,2026-03-01,Meta Ads,Meta Ads Mar-2026,207114.6,17252481,525877,21610,568183.89,12433
MC00115,2026-03-01,Instagram,Instagram Mar-2026,93604.95,7391743,268371,8353,224509.4,4153
MC00116,2026-03-01,Email,Email Mar-2026,31160.59,3107362,99569,2812,186827.46,1100
MC00117,2026-03-01,Organic Search,Organic Search Mar-2026,19799.95,2088799,71717,2580,126377.88,1571
MC00118,2026-03-01,Affiliate,Affiliate Mar-2026,68362.05,2847919,78667,2518,242427.08,1249
MC00119,2026-03-01,Influencer,Influencer Mar-2026,45868.88,4443868,153494,9565,130574.21,6967
MC00120,2026-03-01,Marketplace,Marketplace Mar-2026,112561.94,6286527,104358,2612,345501.98,1607
MC00121,2026-04-01,Google Ads,Google Ads Apr-2026,168673.24,12643644,312971,10357,711316.87,3896
MC00122,2026-04-01,Meta Ads,Meta Ads Apr-2026,163524.57,8174567,231988,14572,453277.2,9394
MC00123,2026-04-01,Instagram,Instagram Apr-2026,76774.66,5039717,252907,6201,195043.59,3501
MC00124,2026-04-01,Email,Email Apr-2026,33955.45,4370490,187088,7012,191575.68,5193
MC00125,2026-04-01,Organic Search,Organic Search Apr-2026,24753.92,2478308,65617,3815,127478.44,2232
MC00126,2026-04-01,Affiliate,Affiliate Apr-2026,59551.81,6183581,171456,11388,189775.59,5828
MC00127,2026-04-01,Influencer,Influencer Apr-2026,48966.75,5042531,65562,1616,120820.48,903
MC00128,2026-04-01,Marketplace,Marketplace Apr-2026,91432.95,4741523,134344,7351,299379.38,4084
MC00129,2026-05-01,Google Ads,Google Ads May-2026,176018.88,10137401,468201,8495,666647.69,3508
MC00130,2026-05-01,Meta Ads,Meta Ads May-2026,153547.99,7673914,301416,15134,562026.4,11276
MC00131,2026-05-01,Instagram,Instagram May-2026,79341.43,3511161,49786,1630,226105.13,832
MC00132,2026-05-01,Email,Email May-2026,43307.85,4312913,212245,11844,198052.04,4973
MC00133,2026-05-01,Organic Search,Organic Search May-2026,18702.1,889514,26770,584,130795.54,155
MC00134,2026-05-01,Affiliate,Affiliate May-2026,68151.24,12112519,494314,14991,218370.69,6959
MC00135,2026-05-01,Influencer,Influencer May-2026,43523.07,3304184,50088,1935,99097.62,905
MC00136,2026-05-01,Marketplace,Marketplace May-2026,125061.0,24039530,772633,15545,404242.42,7414
MC00137,2026-06-01,Google Ads,Google Ads Jun-2026,211006.07,40917988,1165356,62758,732184.54,43680
MC00138,2026-06-01,Meta Ads,Meta Ads Jun-2026,158921.18,8990311,190669,3112,576656.46,1442
MC00139,2026-06-01,Instagram,Instagram Jun-2026,102578.34,6608506,218595,10873,340568.51,4887
MC00140,2026-06-01,Email,Email Jun-2026,42682.22,4226480,144885,8195,221572.97,5783
MC00141,2026-06-01,Organic Search,Organic Search Jun-2026,21978.99,1147262,50067,1714,145072.31,742
MC00142,2026-06-01,Affiliate,Affiliate Jun-2026,60737.02,4064253,194118,8155,163902.02,4877
MC00143,2026-06-01,Influencer,Influencer Jun-2026,51230.78,2958306,125305,3407,129722.26,1960
MC00144,2026-06-01,Marketplace,Marketplace Jun-2026,122729.04,9653288,266613,6966,409552.25,5032
MC00145,2026-07-01,Google Ads,Google Ads Jul-2026,202337.16,26767329,883229,59343,785053.09,36291
MC00146,2026-07-01,Meta Ads,Meta Ads Jul-2026,255647.15,13203669,322611,15257,411949.95,8666
MC00147,2026-07-01,Instagram,Instagram Jul-2026,80378.32,3378475,154184,7456,260715.04,3272
MC00148,2026-07-01,Email,Email Jul-2026,42378.53,4390854,86516,2041,186619.77,830
MC00149,2026-07-01,Organic Search,Organic Search Jul-2026,22782.54,2365729,115364,3622,157995.88,1606
MC00150,2026-07-01,Affiliate,Affiliate Jul-2026,72709.5,9005208,128415,2682,243450.05,1269
MC00151,2026-07-01,Influencer,Influencer Jul-2026,57009.76,2698172,60682,2263,157312.94,1483
MC00152,2026-07-01,Marketplace,Marketplace Jul-2026,92142.75,12775222,597058,24968,305184.78,11210
MC00153,2026-08-01,Google Ads,Google Ads Aug-2026,150599.19,13334811,191002,5706,657184.02,2491
MC00154,2026-08-01,Meta Ads,Meta Ads Aug-2026,239632.92,14736375,364257,21286,414989.81,15554
MC00155,2026-08-01,Instagram,Instagram Aug-2026,100461.59,4682088,228556,12973,263489.7,6123
MC00156,2026-08-01,Email,Email Aug-2026,30585.15,2511360,48733,2698,157988.08,1050
MC00157,2026-08-01,Organic Search,Organic Search Aug-2026,20210.48,3000473,53189,2387,113785.57,1197
MC00158,2026-08-01,Affiliate,Affiliate Aug-2026,57905.95,3206322,126201,3920,173139.23,1514
MC00159,2026-08-01,Influencer,Influencer Aug-2026,44895.69,6837700,90712,5115,96843.15,2692
MC00160,2026-08-01,Marketplace,Marketplace Aug-2026,109211.11,8069819,185905,7230,247903.22,4990
MC00161,2026-09-01,Google Ads,Google Ads Sep-2026,188869.09,24623569,469315,20428,938469.87,10098
MC00162,2026-09-01,Meta Ads,Meta Ads Sep-2026,204140.17,8664882,153199,5811,465777.77,3042
MC00163,2026-09-01,Instagram,Instagram Sep-2026,99741.33,6596129,337490,22850,293860.6,12213
MC00164,2026-09-01,Email,Email Sep-2026,30928.7,2251488,118900,2096,129677.35,1045
MC00165,2026-09-01,Organic Search,Organic Search Sep-2026,21354.55,2323111,65753,3146,117510.29,1388
MC00166,2026-09-01,Affiliate,Affiliate Sep-2026,68820.6,3362597,176731,4090,194754.8,2607
MC00167,2026-09-01,Influencer,Influencer Sep-2026,54053.52,2547628,107533,3041,155299.87,1447
MC00168,2026-09-01,Marketplace,Marketplace Sep-2026,105730.24,4652583,199784,4669,357770.18,2957
MC00169,2026-10-01,Google Ads,Google Ads Oct-2026,160021.65,14027252,288818,11039,638492.85,5167
MC00170,2026-10-01,Meta Ads,Meta Ads Oct-2026,192553.06,9283997,181056,10764,336184.11,7458
MC00171,2026-10-01,Instagram,Instagram Oct-2026,88615.77,4968128,86019,4156,195615.45,3054
MC00172,2026-10-01,Email,Email Oct-2026,29317.06,1686906,47883,2666,154638.56,1253
MC00173,2026-10-01,Organic Search,Organic Search Oct-2026,19906.14,1277697,59563,3212,124222.63,2223
MC00174,2026-10-01,Affiliate,Affiliate Oct-2026,67238.32,5122114,185256,9393,260665.59,5435
MC00175,2026-10-01,Influencer,Influencer Oct-2026,61261.73,4809159,216225,4711,141630.57,2791
MC00176,2026-10-01,Marketplace,Marketplace Oct-2026,130578.89,18971730,911058,45593,406659.28,29799
MC00177,2026-11-01,Google Ads,Google Ads Nov-2026,203059.68,10888161,230692,11526,672133.65,3157
MC00178,2026-11-01,Meta Ads,Meta Ads Nov-2026,218137.69,29837460,1207203,51950,488045.97,23213
MC00179,2026-11-01,Instagram,Instagram Nov-2026,74970.45,5575948,159322,6538,204161.47,3675
MC00180,2026-11-01,Email,Email Nov-2026,41353.62,5530240,72559,2409,256454.8,1700
MC00181,2026-11-01,Organic Search,Organic Search Nov-2026,21084.49,1923376,104751,4907,107763.51,1361
MC00182,2026-11-01,Affiliate,Affiliate Nov-2026,48429.66,3597208,118201,1912,139095.56,1154
MC00183,2026-11-01,Influencer,Influencer Nov-2026,52882.08,2194721,120699,4565,118153.6,2782
MC00184,2026-11-01,Marketplace,Marketplace Nov-2026,129634.57,13681252,673672,11218,350589.45,3001
MC00185,2026-12-01,Google Ads,Google Ads Dec-2026,216972.32,30205736,1296247,84081,747221.42,38474
MC00186,2026-12-01,Meta Ads,Meta Ads Dec-2026,231612.92,16132720,305374,5388,447717.9,2094
MC00187,2026-12-01,Instagram,Instagram Dec-2026,72497.69,6859837,197395,11011,157251.2,5982
MC00188,2026-12-01,Email,Email Dec-2026,32102.12,1303812,46200,1041,198690.72,421
MC00189,2026-12-01,Organic Search,Organic Search Dec-2026,24048.05,1425908,22006,620,133295.74,442
MC00190,2026-12-01,Affiliate,Affiliate Dec-2026,61646.91,8082186,442350,6971,250354.32,2994
MC00191,2026-12-01,Influencer,Influencer Dec-2026,46888.3,6414865,303999,18851,118455.66,6293
MC00192,2026-12-01,Marketplace,Marketplace Dec-2026,133138.07,5440972,245625,11842,433350.68,6763
